cellType	gene
CD8+ Tem_HPCA_2	RNF126
CD8+ Tem_HPCA_2	TRMU
CD8+ Tem_HPCA_2	EXOC2
CD8+ Tem_HPCA_2	LTB4R2
CD8+ Tem_HPCA_2	OTUD7B
CD8+ Tem_HPCA_2	PRDM8
CD8+ Tem_HPCA_2	TULP4
CD8+ Tem_HPCA_2	PLXDC1
CD8+ Tem_HPCA_2	CREBZF
CD8+ Tem_HPCA_2	HIVEP3
CD8+ Tem_HPCA_2	ZNF335
CD8+ Tem_HPCA_2	KRI1
CD8+ Tem_HPCA_2	PVRIG
CD8+ Tem_HPCA_2	FYCO1
CD8+ Tem_HPCA_2	GCC1
CD8+ Tem_HPCA_2	CORO7
CD8+ Tem_HPCA_2	FBXO31
CD8+ Tem_HPCA_2	GSDMD
CD8+ Tem_HPCA_2	ZNF696
CD8+ Tem_HPCA_2	MUS81
CD8+ Tem_HPCA_2	WDR82
CD8+ Tem_HPCA_2	TRAF3IP3
CD8+ Tem_HPCA_2	SLC38A1
CD8+ Tem_HPCA_2	KIAA1109
CD8+ Tem_HPCA_2	RHOT2
CD8+ Tem_HPCA_2	ANGEL2
CD8+ Tem_HPCA_2	SPSB3
CD8+ Tem_HPCA_2	ZNF276
CD8+ Tem_HPCA_2	OSBPL7
CD8+ Tem_HPCA_2	MRFAP1L1
CD8+ Tem_HPCA_2	DNAJC24
CD8+ Tem_HPCA_2	ZNF428
CD8+ Tem_HPCA_2	PYHIN1
CD8+ Tem_HPCA_2	NCR3
CD8+ Tem_HPCA_3	ABCD2
CD8+ Tem_HPCA_3	BMPR1A
CD8+ Tem_HPCA_3	C8G
CD8+ Tem_HPCA_3	CACNB1
CD8+ Tem_HPCA_3	CASP8
CD8+ Tem_HPCA_3	CD8A
CD8+ Tem_HPCA_3	DUSP8
CD8+ Tem_HPCA_3	GZMH
CD8+ Tem_HPCA_3	IFNG
CD8+ Tem_HPCA_3	LAG3
CD8+ Tem_HPCA_3	LTK
CD8+ Tem_HPCA_3	SH2D1A
CD8+ Tem_HPCA_3	MSH3
CD8+ Tem_HPCA_3	PDCD1
CD8+ Tem_HPCA_3	PPP2R5C
CD8+ Tem_HPCA_3	PURA
CD8+ Tem_HPCA_3	S100B
CD8+ Tem_HPCA_3	XCL1
CD8+ Tem_HPCA_3	FBXW4
CD8+ Tem_HPCA_3	TBCC
CD8+ Tem_HPCA_3	TCOF1
CD8+ Tem_HPCA_3	ARHGEF5
CD8+ Tem_HPCA_3	CDK10
CD8+ Tem_HPCA_3	SLC25A12
CD8+ Tem_HPCA_3	KLRG1
CD8+ Tem_HPCA_3	HMGN4
CD8+ Tem_HPCA_3	CXCR6
CD8+ Tem_HPCA_3	CEP250
CD8+ Tem_HPCA_3	IKZF3
CD8+ Tem_HPCA_3	ADAT1
CD8+ Tem_HPCA_3	RPUSD2
CD8+ Tem_HPCA_3	ASTE1
CD8+ Tem_HPCA_3	GPR171
CD8+ Tem_HPCA_3	COL5A3
CD8+ Tem_HPCA_3	GIMAP4
CD8+ Tem_HPCA_3	PVRIG
CD8+ Tem_HPCA_3	FYCO1
CD8+ Tem_HPCA_3	GCC1
CD8+ Tem_HPCA_3	MRFAP1L1
CD8+ Tem_HPCA_3	ZNF428
CD8+ Tem_HPCA_3	GIMAP6
CD8+ Tem_NOVERSHTERN_1	FASLG
CD8+ Tem_NOVERSHTERN_1	C8G
CD8+ Tem_NOVERSHTERN_1	CACNB1
CD8+ Tem_NOVERSHTERN_1	CD8A
CD8+ Tem_NOVERSHTERN_1	CD8B
CD8+ Tem_NOVERSHTERN_1	CX3CR1
CD8+ Tem_NOVERSHTERN_1	GZMH
CD8+ Tem_NOVERSHTERN_1	GZMB
CD8+ Tem_NOVERSHTERN_1	GZMK
CD8+ Tem_NOVERSHTERN_1	IFNG
CD8+ Tem_NOVERSHTERN_1	LAG3
CD8+ Tem_NOVERSHTERN_1	LTK
CD8+ Tem_NOVERSHTERN_1	SH2D1A
CD8+ Tem_NOVERSHTERN_1	PDCD1
CD8+ Tem_NOVERSHTERN_1	PRF1
CD8+ Tem_NOVERSHTERN_1	PTGDR
CD8+ Tem_NOVERSHTERN_1	RBL2
CD8+ Tem_NOVERSHTERN_1	SLC1A7
CD8+ Tem_NOVERSHTERN_1	ZAP70
CD8+ Tem_NOVERSHTERN_1	KLRG1
CD8+ Tem_NOVERSHTERN_1	NMUR1
CD8+ Tem_NOVERSHTERN_1	CXCR6
CD8+ Tem_NOVERSHTERN_1	TBX21
CD8+ Tem_NOVERSHTERN_1	COL5A3
CD8+ Tem_NOVERSHTERN_1	PYHIN1
CD8+ Tem_NOVERSHTERN_2	FASLG
CD8+ Tem_NOVERSHTERN_2	C8G
CD8+ Tem_NOVERSHTERN_2	CD8A
CD8+ Tem_NOVERSHTERN_2	CD8B
CD8+ Tem_NOVERSHTERN_2	CX3CR1
CD8+ Tem_NOVERSHTERN_2	GZMH
CD8+ Tem_NOVERSHTERN_2	GZMB
CD8+ Tem_NOVERSHTERN_2	GZMK
CD8+ Tem_NOVERSHTERN_2	IFNG
CD8+ Tem_NOVERSHTERN_2	PDCD1
CD8+ Tem_NOVERSHTERN_2	PRF1
CD8+ Tem_NOVERSHTERN_2	PTGDR
CD8+ Tem_NOVERSHTERN_2	SLC1A7
CD8+ Tem_NOVERSHTERN_2	ZAP70
CD8+ Tem_NOVERSHTERN_2	KLRG1
CD8+ Tem_NOVERSHTERN_2	NMUR1
CD8+ Tem_NOVERSHTERN_2	CXCR6
CD8+ Tem_NOVERSHTERN_2	TBX21
CD8+ Tem_NOVERSHTERN_2	COL5A3
CD8+ Tem_NOVERSHTERN_2	PYHIN1
CD8+ Tem_NOVERSHTERN_3	FASLG
CD8+ Tem_NOVERSHTERN_3	C8G
CD8+ Tem_NOVERSHTERN_3	CACNB1
CD8+ Tem_NOVERSHTERN_3	CD8A
CD8+ Tem_NOVERSHTERN_3	CD8B
CD8+ Tem_NOVERSHTERN_3	CX3CR1
CD8+ Tem_NOVERSHTERN_3	GZMH
CD8+ Tem_NOVERSHTERN_3	GZMB
CD8+ Tem_NOVERSHTERN_3	GZMK
CD8+ Tem_NOVERSHTERN_3	IFNG
CD8+ Tem_NOVERSHTERN_3	SH2D1A
CD8+ Tem_NOVERSHTERN_3	PDCD1
CD8+ Tem_NOVERSHTERN_3	PRF1
CD8+ Tem_NOVERSHTERN_3	PTGDR
CD8+ Tem_NOVERSHTERN_3	SLC1A7
CD8+ Tem_NOVERSHTERN_3	ZAP70
CD8+ Tem_NOVERSHTERN_3	KLRG1
CD8+ Tem_NOVERSHTERN_3	NMUR1
CD8+ Tem_NOVERSHTERN_3	CXCR6
CD8+ Tem_NOVERSHTERN_3	TBX21
CD8+ Tem_NOVERSHTERN_3	COL5A3
CD8+ Tem_NOVERSHTERN_3	PYHIN1
cDC_HPCA_1	ALCAM
cDC_HPCA_1	ANXA1
cDC_HPCA_1	CD1C
cDC_HPCA_1	CD1E
cDC_HPCA_1	DBI
cDC_HPCA_1	FCER1A
cDC_HPCA_1	ITGAX
cDC_HPCA_1	PITPNA
cDC_HPCA_1	SSR1
cDC_HPCA_1	RAB7A
cDC_HPCA_1	CLEC10A
cDC_HPCA_1	TCTN3
cDC_HPCA_1	CCDC88A
cDC_HPCA_1	SLAMF8
cDC_HPCA_2	ALCAM
cDC_HPCA_2	CD1C
cDC_HPCA_2	CD1E
cDC_HPCA_2	DBI
cDC_HPCA_2	FCER1A
cDC_HPCA_2	ITGAX
cDC_HPCA_2	SSR1
cDC_HPCA_2	RAB7A
cDC_HPCA_2	ACTR3
cDC_HPCA_2	CLEC10A
cDC_HPCA_2	CCDC88A
cDC_HPCA_2	SLAMF8
cDC_HPCA_3	CD1C
cDC_HPCA_3	CD86
cDC_HPCA_3	FCER1A
cDC_HPCA_3	FLT3
cDC_HPCA_3	S100A10
cDC_HPCA_3	CD163
cDC_HPCA_3	CLEC10A
cDC_HPCA_3	FGL2
cDC_HPCA_3	CD93
cDC_HPCA_3	WDFY3
cDC_HPCA_3	CLEC4A
cDC_NOVERSHTERN_1	CD1A
cDC_NOVERSHTERN_1	CD1B
cDC_NOVERSHTERN_1	CD1C
cDC_NOVERSHTERN_1	CD1E
cDC_NOVERSHTERN_1	CD80
cDC_NOVERSHTERN_1	DNASE1L3
cDC_NOVERSHTERN_1	FCER1A
cDC_NOVERSHTERN_1	GFRA2
cDC_NOVERSHTERN_1	CCL17
cDC_NOVERSHTERN_1	CCL24
cDC_NOVERSHTERN_1	RRP1B
cDC_NOVERSHTERN_1	CD209
cDC_NOVERSHTERN_1	KCNK13
cDC_NOVERSHTERN_2	CD1A
cDC_NOVERSHTERN_2	CD1B
cDC_NOVERSHTERN_2	CD1C
cDC_NOVERSHTERN_2	CD1E
cDC_NOVERSHTERN_2	CD80
cDC_NOVERSHTERN_2	DNASE1L3
cDC_NOVERSHTERN_2	FCER1A
cDC_NOVERSHTERN_2	GFRA2
cDC_NOVERSHTERN_2	CCL17
cDC_NOVERSHTERN_2	CCL24
cDC_NOVERSHTERN_2	CD209
cDC_NOVERSHTERN_2	KCNK13
cDC_NOVERSHTERN_3	ALOX15
cDC_NOVERSHTERN_3	CD1A
cDC_NOVERSHTERN_3	CD1B
cDC_NOVERSHTERN_3	CD1C
cDC_NOVERSHTERN_3	CD1E
cDC_NOVERSHTERN_3	CD80
cDC_NOVERSHTERN_3	CD86
cDC_NOVERSHTERN_3	CRH
cDC_NOVERSHTERN_3	DNASE1L3
cDC_NOVERSHTERN_3	FCER1A
cDC_NOVERSHTERN_3	GFRA2
cDC_NOVERSHTERN_3	CCL13
cDC_NOVERSHTERN_3	CCL17
cDC_NOVERSHTERN_3	CCL23
cDC_NOVERSHTERN_3	CCL24
cDC_NOVERSHTERN_3	ALDH1A2
cDC_NOVERSHTERN_3	CLEC10A
cDC_NOVERSHTERN_3	RRP1B
cDC_NOVERSHTERN_3	CD209
cDC_NOVERSHTERN_3	KCNK13
Chondrocytes_ENCODE_1	ACAN
Chondrocytes_ENCODE_1	ARL1
Chondrocytes_ENCODE_1	COMP
Chondrocytes_ENCODE_1	ERG
Chondrocytes_ENCODE_1	ISLR
Chondrocytes_ENCODE_1	OGN
Chondrocytes_ENCODE_1	PGK1
Chondrocytes_ENCODE_1	PRELP
Chondrocytes_ENCODE_1	COL14A1
Chondrocytes_ENCODE_1	RGS11
Chondrocytes_ENCODE_1	TBX4
Chondrocytes_ENCODE_1	MORF4L2
Chondrocytes_ENCODE_1	LAPTM4A
Chondrocytes_ENCODE_1	SNUPN
Chondrocytes_ENCODE_1	MPHOSPH6
Chondrocytes_ENCODE_1	SCRG1
Chondrocytes_ENCODE_1	FBXW11
Chondrocytes_ENCODE_1	REM1
Chondrocytes_ENCODE_1	ZNF471
Chondrocytes_ENCODE_1	PODNL1
Chondrocytes_ENCODE_2	ACAN
Chondrocytes_ENCODE_2	ARL1
Chondrocytes_ENCODE_2	COMP
Chondrocytes_ENCODE_2	ERG
Chondrocytes_ENCODE_2	GLG1
Chondrocytes_ENCODE_2	ISLR
Chondrocytes_ENCODE_2	OGN
Chondrocytes_ENCODE_2	PGK1
Chondrocytes_ENCODE_2	PRELP
Chondrocytes_ENCODE_2	COL14A1
Chondrocytes_ENCODE_2	PTP4A2
Chondrocytes_ENCODE_2	RGS11
Chondrocytes_ENCODE_2	TBX4
Chondrocytes_ENCODE_2	GOSR2
Chondrocytes_ENCODE_2	MORF4L2
Chondrocytes_ENCODE_2	LAPTM4A
Chondrocytes_ENCODE_2	SNUPN
Chondrocytes_ENCODE_2	MPHOSPH6
Chondrocytes_ENCODE_2	SCRG1
Chondrocytes_ENCODE_2	FBXW11
Chondrocytes_ENCODE_2	REM1
Chondrocytes_ENCODE_2	ZNF471
Chondrocytes_ENCODE_2	PODNL1
Chondrocytes_ENCODE_3	ACAN
Chondrocytes_ENCODE_3	CCNB1
Chondrocytes_ENCODE_3	COL10A1
Chondrocytes_ENCODE_3	COMP
Chondrocytes_ENCODE_3	CSNK1A1
Chondrocytes_ENCODE_3	ERG
Chondrocytes_ENCODE_3	FOXD2
Chondrocytes_ENCODE_3	LPAR4
Chondrocytes_ENCODE_3	ISLR
Chondrocytes_ENCODE_3	MYOC
Chondrocytes_ENCODE_3	NFATC4
Chondrocytes_ENCODE_3	NKX3-1
Chondrocytes_ENCODE_3	OMD
Chondrocytes_ENCODE_3	PRELP
Chondrocytes_ENCODE_3	STAT2
Chondrocytes_ENCODE_3	TNXB
Chondrocytes_ENCODE_3	COL14A1
Chondrocytes_ENCODE_3	PTP4A2
Chondrocytes_ENCODE_3	GDF5
Chondrocytes_ENCODE_3	FZD9
Chondrocytes_ENCODE_3	CILP
Chondrocytes_ENCODE_3	TNFSF11
Chondrocytes_ENCODE_3	WASL
Chondrocytes_ENCODE_3	TBX4
Chondrocytes_ENCODE_3	TMEM59
Chondrocytes_ENCODE_3	MORF4L2
Chondrocytes_ENCODE_3	LAPTM4A
Chondrocytes_ENCODE_3	SNUPN
Chondrocytes_ENCODE_3	MPHOSPH6
Chondrocytes_ENCODE_3	PRG4
Chondrocytes_ENCODE_3	ANGPTL7
Chondrocytes_ENCODE_3	SLC38A3
Chondrocytes_ENCODE_3	DSTN
Chondrocytes_ENCODE_3	WWP2
Chondrocytes_ENCODE_3	SCRG1
Chondrocytes_ENCODE_3	IQSEC2
Chondrocytes_ENCODE_3	FBXW11
Chondrocytes_ENCODE_3	HSPB7
Chondrocytes_ENCODE_3	REM1
Chondrocytes_ENCODE_3	COL5A3
Chondrocytes_ENCODE_3	CRTAC1
Chondrocytes_ENCODE_3	NPLOC4
Chondrocytes_ENCODE_3	ZNF471
Chondrocytes_ENCODE_3	PODNL1
Chondrocytes_ENCODE_3	NDFIP1
Chondrocytes_ENCODE_3	DYNLRB1
Chondrocytes_ENCODE_3	LRRC15
Chondrocytes_FANTOM_1	ADRA1D
Chondrocytes_FANTOM_1	ACAN
Chondrocytes_FANTOM_1	AK1
Chondrocytes_FANTOM_1	ABCD1
Chondrocytes_FANTOM_1	APOC3
Chondrocytes_FANTOM_1	ARCN1
Chondrocytes_FANTOM_1	ARL1
Chondrocytes_FANTOM_1	ARNT
Chondrocytes_FANTOM_1	CACNA1C
Chondrocytes_FANTOM_1	CACNB1
Chondrocytes_FANTOM_1	CAMLG
Chondrocytes_FANTOM_1	RUNX2
Chondrocytes_FANTOM_1	RUNX1
Chondrocytes_FANTOM_1	COL10A1
Chondrocytes_FANTOM_1	COMP
Chondrocytes_FANTOM_1	COPA
Chondrocytes_FANTOM_1	COPB1
Chondrocytes_FANTOM_1	CYP19A1
Chondrocytes_FANTOM_1	DMWD
Chondrocytes_FANTOM_1	DPT
Chondrocytes_FANTOM_1	DVL1
Chondrocytes_FANTOM_1	ELN
Chondrocytes_FANTOM_1	ENO1
Chondrocytes_FANTOM_1	ERF
Chondrocytes_FANTOM_1	ETF1
Chondrocytes_FANTOM_1	FGF7
Chondrocytes_FANTOM_1	FOXC2
Chondrocytes_FANTOM_1	FSHB
Chondrocytes_FANTOM_1	GOLGA4
Chondrocytes_FANTOM_1	MCHR1
Chondrocytes_FANTOM_1	GRIA3
Chondrocytes_FANTOM_1	HAS1
Chondrocytes_FANTOM_1	HDLBP
Chondrocytes_FANTOM_1	HOXD3
Chondrocytes_FANTOM_1	IBSP
Chondrocytes_FANTOM_1	IDUA
Chondrocytes_FANTOM_1	IFNB1
Chondrocytes_FANTOM_1	IGF1
Chondrocytes_FANTOM_1	ISLR
Chondrocytes_FANTOM_1	KRT10
Chondrocytes_FANTOM_1	LEP
Chondrocytes_FANTOM_1	LTBR
Chondrocytes_FANTOM_1	SMAD5
Chondrocytes_FANTOM_1	MIF
Chondrocytes_FANTOM_1	MLN
Chondrocytes_FANTOM_1	MLLT1
Chondrocytes_FANTOM_1	NFATC4
Chondrocytes_FANTOM_1	NFKBIL1
Chondrocytes_FANTOM_1	OCRL
Chondrocytes_FANTOM_1	OMD
Chondrocytes_FANTOM_1	OGN
Chondrocytes_FANTOM_1	P4HB
Chondrocytes_FANTOM_1	PCDHGC3
Chondrocytes_FANTOM_1	PDE3A
Chondrocytes_FANTOM_1	PFN2
Chondrocytes_FANTOM_1	PGM1
Chondrocytes_FANTOM_1	PRELP
Chondrocytes_FANTOM_1	PRL
Chondrocytes_FANTOM_1	PYY
Chondrocytes_FANTOM_1	PTH1R
Chondrocytes_FANTOM_1	PTPN11
Chondrocytes_FANTOM_1	RAB3A
Chondrocytes_FANTOM_1	RGR
Chondrocytes_FANTOM_1	ROS1
Chondrocytes_FANTOM_1	S100A6
Chondrocytes_FANTOM_1	SGCD
Chondrocytes_FANTOM_1	SNTB2
Chondrocytes_FANTOM_1	SSX1
Chondrocytes_FANTOM_1	TACR3
Chondrocytes_FANTOM_1	TF
Chondrocytes_FANTOM_1	CLEC3B
Chondrocytes_FANTOM_1	TNNT3
Chondrocytes_FANTOM_1	TUB
Chondrocytes_FANTOM_1	COL14A1
Chondrocytes_FANTOM_1	ZFPL1
Chondrocytes_FANTOM_1	ZBTB16
Chondrocytes_FANTOM_1	CDK2AP1
Chondrocytes_FANTOM_1	GDF5
Chondrocytes_FANTOM_1	CILP
Chondrocytes_FANTOM_1	PRKRA
Chondrocytes_FANTOM_1	MYH13
Chondrocytes_FANTOM_1	WISP1
Chondrocytes_FANTOM_1	SPAG9
Chondrocytes_FANTOM_1	MAP3K6
Chondrocytes_FANTOM_1	OTOF
Chondrocytes_FANTOM_1	CABP1
Chondrocytes_FANTOM_1	TMEM59
Chondrocytes_FANTOM_1	BAG3
Chondrocytes_FANTOM_1	NCOR2
Chondrocytes_FANTOM_1	TTC37
Chondrocytes_FANTOM_1	LAPTM4A
Chondrocytes_FANTOM_1	CUL7
Chondrocytes_FANTOM_1	PJA2
Chondrocytes_FANTOM_1	NAALADL1
Chondrocytes_FANTOM_1	RANBP9
Chondrocytes_FANTOM_1	ABCC9
Chondrocytes_FANTOM_1	ABI2
Chondrocytes_FANTOM_1	PRG4
Chondrocytes_FANTOM_1	ANGPTL7
Chondrocytes_FANTOM_1	CALCOCO2
Chondrocytes_FANTOM_1	YAP1
Chondrocytes_FANTOM_1	CDIPT
Chondrocytes_FANTOM_1	TM9SF1
Chondrocytes_FANTOM_1	PRDX4
Chondrocytes_FANTOM_1	TRIM3
Chondrocytes_FANTOM_1	CORIN
Chondrocytes_FANTOM_1	ZMYND11
Chondrocytes_FANTOM_1	NCKAP1
Chondrocytes_FANTOM_1	CCL27
Chondrocytes_FANTOM_1	YIF1A
Chondrocytes_FANTOM_1	COPS8
Chondrocytes_FANTOM_1	SPIN1
Chondrocytes_FANTOM_1	KDELR1
Chondrocytes_FANTOM_1	SERINC3
Chondrocytes_FANTOM_1	OS9
Chondrocytes_FANTOM_1	TMED10
Chondrocytes_FANTOM_1	EMILIN1
Chondrocytes_FANTOM_1	MAP4K5
Chondrocytes_FANTOM_1	NXPH3
Chondrocytes_FANTOM_1	SCRG1
Chondrocytes_FANTOM_1	FNDC3A
Chondrocytes_FANTOM_1	TBC1D9B
Chondrocytes_FANTOM_1	ERC1
Chondrocytes_FANTOM_1	MAST2
Chondrocytes_FANTOM_1	SNX13
Chondrocytes_FANTOM_1	PHLDB1
Chondrocytes_FANTOM_1	GANAB
Chondrocytes_FANTOM_1	SCFD1
Chondrocytes_FANTOM_1	POFUT2
Chondrocytes_FANTOM_1	KIAA0368
Chondrocytes_FANTOM_1	MKRN2
Chondrocytes_FANTOM_1	EID1
Chondrocytes_FANTOM_1	BCL2L13
Chondrocytes_FANTOM_1	TMEM59L
Chondrocytes_FANTOM_1	SNED1
Chondrocytes_FANTOM_1	GORASP2
Chondrocytes_FANTOM_1	SLC13A4
Chondrocytes_FANTOM_1	RNF11
Chondrocytes_FANTOM_1	HSPB7
Chondrocytes_FANTOM_1	TUBG2
Chondrocytes_FANTOM_1	IL17B
Chondrocytes_FANTOM_1	KLF15
Chondrocytes_FANTOM_1	CNIH4
Chondrocytes_FANTOM_1	GMPPA
Chondrocytes_FANTOM_1	SEC61A1
Chondrocytes_FANTOM_1	POMT2
Chondrocytes_FANTOM_1	NRBF2
Chondrocytes_FANTOM_1	COL5A3
Chondrocytes_FANTOM_1	TMED7
Chondrocytes_FANTOM_1	CELA2B
Chondrocytes_FANTOM_1	NGRN
Chondrocytes_FANTOM_1	CMPK1
Chondrocytes_FANTOM_1	MIOS
Chondrocytes_FANTOM_1	MIER2
Chondrocytes_FANTOM_1	SLC41A3
Chondrocytes_FANTOM_1	WDR41
Chondrocytes_FANTOM_1	KLHL26
Chondrocytes_FANTOM_1	OLAH
Chondrocytes_FANTOM_1	SPATA7
Chondrocytes_FANTOM_1	GLT8D1
Chondrocytes_FANTOM_1	IRGC
Chondrocytes_FANTOM_1	IFT46
Chondrocytes_FANTOM_1	OTUD7B
Chondrocytes_FANTOM_1	ZNF471
Chondrocytes_FANTOM_1	RIC8A
Chondrocytes_FANTOM_1	ZFAND3
Chondrocytes_FANTOM_1	PKNOX2
Chondrocytes_FANTOM_1	NEUROG2
Chondrocytes_FANTOM_1	ACBD3
Chondrocytes_FANTOM_1	TTC23
Chondrocytes_FANTOM_1	SLC26A10
Chondrocytes_FANTOM_1	C11orf95
Chondrocytes_FANTOM_1	YIPF2
Chondrocytes_FANTOM_1	FTO
Chondrocytes_FANTOM_1	PODNL1
Chondrocytes_FANTOM_1	HDAC11
Chondrocytes_FANTOM_1	TCEAL4
Chondrocytes_FANTOM_1	ADM2
Chondrocytes_FANTOM_1	SVEP1
Chondrocytes_FANTOM_1	UBXN6
Chondrocytes_FANTOM_1	TM2D1
Chondrocytes_FANTOM_1	TSSK1B
Chondrocytes_FANTOM_1	IL17RC
Chondrocytes_FANTOM_1	TBC1D16
Chondrocytes_FANTOM_1	LRRC15
Chondrocytes_FANTOM_1	PRRC1
Chondrocytes_FANTOM_1	ZNF358
Chondrocytes_FANTOM_1	SEPT10
Chondrocytes_FANTOM_1	SLC5A12
Chondrocytes_FANTOM_1	NPHP4
Chondrocytes_FANTOM_1	PPIL6
Chondrocytes_FANTOM_1	DPY19L4
Chondrocytes_FANTOM_1	CTRB2
Chondrocytes_FANTOM_2	ADRA1D
Chondrocytes_FANTOM_2	ACAN
Chondrocytes_FANTOM_2	AK1
Chondrocytes_FANTOM_2	APOC3
Chondrocytes_FANTOM_2	ARNT
Chondrocytes_FANTOM_2	CACNA1C
Chondrocytes_FANTOM_2	CAMLG
Chondrocytes_FANTOM_2	RUNX2
Chondrocytes_FANTOM_2	RUNX1
Chondrocytes_FANTOM_2	COL10A1
Chondrocytes_FANTOM_2	COMP
Chondrocytes_FANTOM_2	COPA
Chondrocytes_FANTOM_2	CYP19A1
Chondrocytes_FANTOM_2	DPT
Chondrocytes_FANTOM_2	DVL1
Chondrocytes_FANTOM_2	ELN
Chondrocytes_FANTOM_2	ERF
Chondrocytes_FANTOM_2	FGF7
Chondrocytes_FANTOM_2	GRIA3
Chondrocytes_FANTOM_2	HAS1
Chondrocytes_FANTOM_2	HDLBP
Chondrocytes_FANTOM_2	IBSP
Chondrocytes_FANTOM_2	IFNB1
Chondrocytes_FANTOM_2	ISLR
Chondrocytes_FANTOM_2	MIF
Chondrocytes_FANTOM_2	MLLT1
Chondrocytes_FANTOM_2	NFATC4
Chondrocytes_FANTOM_2	NFKBIL1
Chondrocytes_FANTOM_2	OMD
Chondrocytes_FANTOM_2	OGN
Chondrocytes_FANTOM_2	P4HB
Chondrocytes_FANTOM_2	PCDHGC3
Chondrocytes_FANTOM_2	PRELP
Chondrocytes_FANTOM_2	PYY
Chondrocytes_FANTOM_2	PTH1R
Chondrocytes_FANTOM_2	CLEC3B
Chondrocytes_FANTOM_2	TUB
Chondrocytes_FANTOM_2	COL14A1
Chondrocytes_FANTOM_2	ZFPL1
Chondrocytes_FANTOM_2	ZBTB16
Chondrocytes_FANTOM_2	GDF5
Chondrocytes_FANTOM_2	CILP
Chondrocytes_FANTOM_2	PRKRA
Chondrocytes_FANTOM_2	WISP1
Chondrocytes_FANTOM_2	MAP3K6
Chondrocytes_FANTOM_2	CABP1
Chondrocytes_FANTOM_2	BAG3
Chondrocytes_FANTOM_2	TTC37
Chondrocytes_FANTOM_2	LAPTM4A
Chondrocytes_FANTOM_2	CUL7
Chondrocytes_FANTOM_2	PJA2
Chondrocytes_FANTOM_2	ABCC9
Chondrocytes_FANTOM_2	PRG4
Chondrocytes_FANTOM_2	ANGPTL7
Chondrocytes_FANTOM_2	CALCOCO2
Chondrocytes_FANTOM_2	CDIPT
Chondrocytes_FANTOM_2	TM9SF1
Chondrocytes_FANTOM_2	CORIN
Chondrocytes_FANTOM_2	ZMYND11
Chondrocytes_FANTOM_2	NCKAP1
Chondrocytes_FANTOM_2	YIF1A
Chondrocytes_FANTOM_2	COPS8
Chondrocytes_FANTOM_2	SPIN1
Chondrocytes_FANTOM_2	KDELR1
Chondrocytes_FANTOM_2	TMED10
Chondrocytes_FANTOM_2	EMILIN1
Chondrocytes_FANTOM_2	MAP4K5
Chondrocytes_FANTOM_2	NXPH3
Chondrocytes_FANTOM_2	SCRG1
Chondrocytes_FANTOM_2	PHLDB1
Chondrocytes_FANTOM_2	GANAB
Chondrocytes_FANTOM_2	MKRN2
Chondrocytes_FANTOM_2	EID1
Chondrocytes_FANTOM_2	BCL2L13
Chondrocytes_FANTOM_2	TMEM59L
Chondrocytes_FANTOM_2	SNED1
Chondrocytes_FANTOM_2	HSPB7
Chondrocytes_FANTOM_2	TUBG2
Chondrocytes_FANTOM_2	IL17B
Chondrocytes_FANTOM_2	POMT2
Chondrocytes_FANTOM_2	COL5A3
Chondrocytes_FANTOM_2	TMED7
Chondrocytes_FANTOM_2	WDR41
Chondrocytes_FANTOM_2	KLHL26
Chondrocytes_FANTOM_2	OLAH
Chondrocytes_FANTOM_2	SPATA7
Chondrocytes_FANTOM_2	GLT8D1
Chondrocytes_FANTOM_2	IFT46
Chondrocytes_FANTOM_2	ZNF471
Chondrocytes_FANTOM_2	RIC8A
Chondrocytes_FANTOM_2	ZFAND3
Chondrocytes_FANTOM_2	PKNOX2
Chondrocytes_FANTOM_2	TTC23
Chondrocytes_FANTOM_2	C11orf95
Chondrocytes_FANTOM_2	YIPF2
Chondrocytes_FANTOM_2	FTO
Chondrocytes_FANTOM_2	PODNL1
Chondrocytes_FANTOM_2	TCEAL4
Chondrocytes_FANTOM_2	ADM2
Chondrocytes_FANTOM_2	SVEP1
Chondrocytes_FANTOM_2	UBXN6
Chondrocytes_FANTOM_2	IL17RC
Chondrocytes_FANTOM_2	LRRC15
Chondrocytes_FANTOM_2	PRRC1
Chondrocytes_FANTOM_2	ZNF358
Chondrocytes_FANTOM_2	SEPT10
Chondrocytes_FANTOM_2	NPHP4
Chondrocytes_FANTOM_3	ADRA1D
Chondrocytes_FANTOM_3	ACAN
Chondrocytes_FANTOM_3	AK1
Chondrocytes_FANTOM_3	ARL1
Chondrocytes_FANTOM_3	CACNA1C
Chondrocytes_FANTOM_3	CAMLG
Chondrocytes_FANTOM_3	RUNX1
Chondrocytes_FANTOM_3	COL10A1
Chondrocytes_FANTOM_3	COMP
Chondrocytes_FANTOM_3	CYP19A1
Chondrocytes_FANTOM_3	DPT
Chondrocytes_FANTOM_3	DVL1
Chondrocytes_FANTOM_3	ELN
Chondrocytes_FANTOM_3	ENO1
Chondrocytes_FANTOM_3	ERF
Chondrocytes_FANTOM_3	FGF7
Chondrocytes_FANTOM_3	FSHB
Chondrocytes_FANTOM_3	GOLGA4
Chondrocytes_FANTOM_3	MCHR1
Chondrocytes_FANTOM_3	GRIA3
Chondrocytes_FANTOM_3	HAS1
Chondrocytes_FANTOM_3	HDLBP
Chondrocytes_FANTOM_3	IBSP
