NAME	MMS AN non-treated	MMS AO Non-treated	MMS AP Non-treated	MMS AR non-irradiated	MMS BA Non- treated  4x44K	MMS BB Non- treated 4x44K	MMS BC1 4x44K (w/o ORGANOIDS digestion)	MMS BE (without organoids)	MMS BF (without organoids)	MMS BL*	MMS E 08/05-08/19	MMS H1 Intact	MMS X Intact Exp1	MMS Z
subtype	not	not	not	not	not	not	CL	CL	not	not	CL	CL	CL	CL
2581	0.797625	-0.457375	-0.846375	-0.143375	-0.359375	1.079625	1.592625	1.217625	1.085625	0.986625	-0.697375	0.344625	0.818625	0.235625
25812	-0.278	0.769	0.734	1.174	0.089	-0.068	-0.084	-0.421	0.003	0.199	0.38	0.74	1.036	-0.054
25813	0.365777778	0.112888889	0.190333333	-0.468222222	0.416777778	-0.575222222	0.058777778	0.261777778	0.368777778	-0.689222222	0.871333333	0.449777778	-0.029222222	1.025777778
25814	0.648285714	0.094785714	0.103571429	-0.394	0.136	0.596	0.356	0.356	0.556	0.586	-0.245214286	0.516	0.897	-0.102
25816	0.65125	0.3113125	0.2163125	-1.821	-1.2	-0.033	1.541	1.477	0.601	0.719	-0.0639375	0.2	1.406	-0.299
25818	1.608785714	1.777357143	1.9365	4.9895	3.5695	2.5795	1.7795	-0.5505	3.5195	3.7295	0.2015	1.0795	-0.3225	0.3805
25819	0.143	-0.0206	-0.2766	0.331	-0.132	0.155	-0.28	-0.216	-0.018	0.245	0.3858	0.191	0.048	0.448
2582	-0.063166667	0.114833333	0.2315	0.663	-0.247	-0.727	-0.817	-0.807	-0.547	-0.757	0.1665	-0.957	-1.11	-0.644
25820	0.2575	-0.7075	-1.0085	-1.5195	-0.9215	-0.3115	-0.1695	-0.6305	-0.2695	-0.3855	-0.8005	0.1425	-0.0075	-0.2925
25821	0.495055556	0.010166667	-0.076833333	0.0425	0.2295	0.7195	0.5005	0.7195	0.5405	0.3795	-0.5035	0.3385	0.6665	0.8685
25822	1.1464	1.7254	0.7874	1.6514	1.0884	0.3474	1.9324	1.3344	1.4604	1.1244	0.8444	2.1854	1.3944	1.6864
25823	-0.4495	-0.7025	-0.4595	0.0115	-0.3045	-0.6955	-0.1675	-0.3395	-0.1675	-1.6455	0.0865	0.7105	-0.2945	-0.0895
25824	0.3885	0.4065	0.4485	0.5225	0.5265	0.4145	0.6465	0.5985	0.8735	0.3955	0.9735	0.5715	-0.1175	0.8955
25825	0.5785	0.4575	0.4742	1.7115	0.2515	0.2215	-0.4885	0.1615	0.4815	0.0615	-0.0291	-0.8385	-0.1665	0.7745
25827	-0.0935	0.6525	0.6205	0.4695	0.7885	0.4105	0.0265	0.1095	-0.18265	0.5155	-0.0455	-0.4265	-0.4235	-0.7915
25828	-0.5425	0.1645	0.0795	-0.7565	-0.2065	0.1495	0.5975	0.2115	0.0115	-0.1605	3.1595	0.5775	-0.2655	2.0465
25829	1.6985	0.6255	0.5375	0.6575	0.2855	0.3005	-0.4355	0.1215	0.4345	0.5185	-0.1215	-0.0185	0.1805	-0.0985
2583	0.3255	0.0955	0.0875	-0.0715	0.4835	-0.4245	0.0815	0.2775	-0.4665	-0.2835	0.4045	0.4025	0.0535	-0.2895
25830	-0.1135	-0.2195	-0.1555	0.334166667	-0.1405	-0.1075	-0.1595	-0.2845	-0.2505	-0.0185	-0.4545	0.1415	-0.0205	0.5455
25831	0.9775	0.4865	0.3255	-0.1705	0.0735	0.7735	0.6685	0.5155	0.4355	0.5815	-1.3865	0.1465	0.6615	-1.0645
25833	-0.4615	-0.1705	-0.0645	0.1875	-0.1185	-0.3675	-0.3095	-0.1985	-0.3035	-0.0645	-0.1185	0.0155	0.0065	-0.1715
25834	0.3125	0.0025	0.3455	0.311928571	0.437	0.5375	0.256	0.4085	0.337	-0.1835	-0.8335	-0.347	-0.07	-0.597
25836	-1.0545	-0.7785	-0.8395	0.1565	-0.1795	-0.4755	-0.7205	-0.8285	-0.7685	-0.6545	-0.7835	-0.9725	-0.5805	-1.1825
25837	-0.3805	-0.3555	-0.1525	-0.3405	-1.0835	-0.1525	-0.1865	-0.4605	-0.7475	-0.7435	0.2125	0.0955	-0.1435	0.6685
2584	-0.3185	0.2065	0.2475	0.5595	0.3575	0.2715	0.3475	0.6135	0.0475	-0.3445	1.5725	0.9355	0.2335	0.5475
25840	-0.108	0.123571429	0.111142857	1.439	-0.219	0.13	0.471	0.078	-0.063	-0.115	-0.038	0.089	0.225	-0.083
25842	0.1435	0.1825	0.1555	-0.6905	0.3595	0.9295	0.7695	1.0595	0.5095	0.4795	-0.5125	0.3295	0.5005	-0.3215
25843	0.5615	-0.1015	-0.1585	-1.9625	-0.2995	1.1225	0.7075	0.7555	0.9095	0.9695	-1.2375	0.6105	0.0575	-0.8205
25844	0.027	-0.348	-0.017	0.456	0.246	-0.146	-0.146	-0.229	-0.785	0.967	-0.98	-1.293	-0.424	0.088
25849	0.911	0.698	0.384	3.673	0.792	1.19	-0.17	-0.048	0.699	1.827	2.087	0.183	-0.447	0.256
2585	0.17	-0.079	0.12	-0.061	0.119	0.109	0.319	-0.041	0.209	0.339	0.271	0.019	0.106	-0.316
25850	-0.2995	-0.0045	-0.0695	-0.7805	0.2865	-0.3395	-0.4485	0.2675	-0.1025	-0.2855	0.3545	-0.5425	-0.2075	0.0075
25851	-1.3495	-0.0345	0.0355	-0.1685	-1.5075	-0.9385	-1.2515	-1.9615	-1.6145	-2.1245	-0.0085	-0.5045	-0.2965	-1.8685
25852	0.1445	-0.0625	-0.1775	-0.0235	-0.178	0.2635	0.3085	0.117	-0.0035	0.293	-1.856	-0.368	-0.137	-1.5095
25853	-0.1695	0.028166667	0.121833333	0.3055	0.1635	0.0965	-0.1565	-0.7615	-0.2905	-0.5785	0.014166667	-0.2315	-0.3255	0.1535
25855	-0.0205	0.2215	0.1945	0.6875	0.1765	-0.2215	-0.2195	-0.1515	-0.3365	-0.0505	-0.0255	-0.5055	-0.4495	0.1715
25859	0.0545	-0.03275	-0.101	0.5275	-0.2215	-0.1415	-0.0365	-0.1165	0.1165	-0.2795	0.26675	0.7125	1.5355	-0.8935
25861	-0.2325	0.1305	0.2855	0.3375	-0.2595	-0.1395	0.0875	-0.1785	-0.1625	0.0545	0.1625	0.0115	-0.0035	-0.8165
25864	-0.575	-0.376	-0.413	0.249	-0.224	-0.192	0.306	0.423	-0.683	0.084	0.178	0.118	0.138	1.035
25865	0.162583333	-0.149833333	-0.2035	-2.3665	-1.3765	-1.1135	-0.8115	0.1885	-0.3315	-1.1145	0.5372	0.3675	-0.1215	1.8375
2587	-0.404357143	-0.170357143	-0.224357143	0.346198413	0.000357143	0.047267857	0.222642857	0.471642857	-0.240190476	-0.030357143	-0.097357143	0.056642857	-0.314357143	0.847642857
25870	-0.19975	0.23625	0.37825	1.98625	1.14375	-0.08925	0.04325	0.35975	0.50175	-0.16925	0.89725	1.06825	0.18625	1.32325
25873	0.0105	0.1343	-0.0587	0.4475	0.2275	0.2375	0.6075	-0.1325	-0.5025	0.4075	0.3079	0.3275	-0.1645	0.1485
25874	-0.0815	-0.4875	-0.4705	-1.3215	-0.6115	-0.0835	0.4145	0.4245	0.4965	-0.0055	-0.7775	-0.0425	-0.0985	-0.4585
25875	-0.665	-0.465	-0.592	-1.049	-0.399	-0.439	0.031	-0.149	-0.619	-0.629	-0.085	-0.469	0.071	0.339
