NAME	MMS AN non-treated	MMS AO Non-treated	MMS AP Non-treated	MMS AR non-irradiated	MMS BA Non- treated  4x44K	MMS BB Non- treated 4x44K	MMS BC1 4x44K (w/o ORGANOIDS digestion)	MMS BE (without organoids)	MMS BF (without organoids)	MMS BL*	MMS E 08/05-08/19	MMS H1 Intact	MMS X Intact Exp1	MMS Z
subtype	not	not	not	not	not	not	CL	CL	not	not	CL	CL	CL	CL
1	-0.238	0.685	0.478	0.365	0.291	0.254	0.472	-0.563	0.08	0.705	0.398	0.352	0.314	-0.162
10	-0.136	-0.41	-0.74	0.3662	-0.227	-0.047	0.163	0.013	0.113	-0.277	-0.729	-0.107	-0.012	-1.059
100	0.369	1.139	0.66	0.197	1.012	0.623	0.776	0.641	-0.349	0.277	0.893	0.417	1.42	1.655
1000	1.5405	1.6605	1.9985	1.3395	1.3695	0.8195	0.3495	0.1495	0.8095	0.1395	1.1365	0.8995	0.4525	-0.7555
10000	-0.266	1.181	0.835	0.794	1.137	0.893	0.76	0.112	-0.01	1.624	1.065	0.35	0.035	0.192
10001	-0.2315	-0.0565	-0.0315	0.4245	-1.0995	-0.1115	-0.0175	0.2955	0.6575	0.1405	0.4945	0.2095	-0.3605	0.0295
10002	-0.446	-0.256	-0.032	0.25	-0.56	-0.453	-0.404	-0.398	-0.29	-2.165	-0.994	-0.625	-0.696	-1.924
10003	0.189428571	-0.127571429	-0.131	0.705	0.34	0.322	0.836	0.236	0.409	-0.315	0.3755	0.109	-0.008	-0.768
10004	0.206	-0.398	-0.487	0.1915	-0.04	0.102	0.112	0.41	0.156	0.36	1.084	0.841	0.165	1.275
10005	0.1335	0.2505	0.5415	0.2405	0.0155	0.3395	0.5775	0.3855	0.3565	0.5075	1.3025	0.6035	-0.0635	1.0275
10006	0.3205	0.1445	0.1745	0.4665	0.4825	-0.0205	-0.6385	0.1965	0.2035	-0.1495	-1.2135	0.0185	0.1145	-1.2965
10007	-0.0555625	0.0006875	-0.195375	-1.2146875	-2.6596875	-1.7526875	-0.4426875	0.6223125	0.1543125	-0.7286875	0.00825	0.3693125	0.5213125	0.3113125
10008	-0.346642857	0.1495	0.0885	0.4045	-0.0965	0.3225	0.0805	0.0835	-0.2535	0.6235	0.065642857	-0.1645	0.2565	0.8585
10009	0.754652778	0.551652778	-0.134632937	1.126652778	0.037652778	0.057652778	-0.054347222	-0.405347222	-0.175347222	-0.599347222	0.602652778	0.357652778	0.357652778	0.113652778
1001	3.4185	3.3825	3.3855	3.0145	3.5745	3.1145	-0.5655	-2.8055	2.9445	2.5245	-1.0505	0.7145	-2.4635	-1.5405
10010	0.559	0.157	0.772	1.023	1.023	0.413	-0.066	-0.394	0.42	0.424	0.23	-0.42	0.302	-0.235
100101467	-1.309833333	-0.1495	-0.375166667	-0.6105	-1.2155	-1.3865	-0.5995	-0.0955	0.4965	-1.8835	0.822833333	-1.3965	-0.9085	-0.5275
10011	0.21	1.053	0.469	0.444	0.292	0.454	0.427	-0.044	0.305	0.656	1.113	0.546	-0.025	0.988
100127886	-0.1895	-0.3295	-0.5365	0.3745	-1.6905	0.2435	-0.0615	0.0525	0.6015	0.2745	-0.0325	-0.0025	-0.1095	-0.8045
100127894|57536|440258	-0.858083333	-0.685583333	-0.404916667	-1.293916667	-2.169916667	-2.168916667	-1.190916667	-0.621916667	-0.081916667	-1.965916667	0.634083333	-1.944916667	-1.114916667	-0.357916667
100128178	1.5565	1.6355	0.8365	1.7335	3.4555	2.4015	2.3795	3.5215	3.4755	3.3695	2.6135	1.9865	1.6165	2.3305
100128285	0.0895	-0.2415	0.1515	-0.8045	-0.3525	-0.8105	-0.7705	-0.4105	0.1495	-2.1655	-0.1145	1.8745	-0.3105	0.2165
100128416	0.5085	-0.3655	-0.5915	-0.3825	0.5305	0.4435	0.8055	0.8315	0.6205	1.0295	-0.4995	0.4455	0.5685	-0.4335
100128482	-0.230666667	0.163666667	-0.197333333	-0.238333333	-0.111	-0.138	-0.091	-0.061	-0.116	-0.282	-0.194	0.167	-0.134	0.073
100128927	-0.226	0.0544	0.068	1.015	-0.232	-0.115	0.078	0.004	-0.067	0.568	0.2472	0.045	0.106	0.158
100129089	-0.113857143	0.099	0.010333333	0.60675	-0.397888889	0.432	-0.739	0.082	-0.238	-0.109	-0.042714286	-0.241	0.089	-0.299
100129128	0.120571429	-0.095857143	0.120428571	-0.111	0.299	0.221	0.492	0.217	0.356	0.482	-0.024571429	0.29	-0.089	-0.464
100129253	0.3815	0.0055	-0.06425	-0.245	-0.29	-0.43	-0.222	-0.255	-0.64	-0.497	0.13375	-0.387	-0.059	-0.205
100129271	-0.2687	0.0891	0.1639	1.3165	0.1265	-0.3435	-0.1535	-0.1735	-0.0935	-0.2635	0.2813	0.0565	-0.0615	-0.1065
100129318	-0.069333333	0.05575	0.094875	0.2019	-0.3505	-0.3685	-0.2945	-0.1765	-0.1245	-1.4875	0.0095	-0.1415	-0.3135	1.1975
100129322	-0.198475	-0.188475	-0.076208333	0.291125	-0.412875	-0.480875	-0.264875	-0.301875	-0.237875	-0.760875	-0.239275	-0.090875	-0.245875	3.044125
100129563	0.308	-0.754	-0.736	-1.317	-1.103	0.235	0.107	0.377	0.032	0.066	-2.24	-0.257	0.468	-1.361
100129842	0.191	-2.004	-1.731	-0.568	-0.467	-0.209	-0.12	-0.105	-0.114	0.052	-0.259	-1.478	-0.53	-0.601
100129935	0.391	-0.132	0.122	0.9194	0.046	0.03	0.001	-0.189	-0.214	-0.213	0.333	0.195	0.222	2.275
10013	-0.219	-0.196	-0.149	0.208	-0.023	-0.202	-0.021	0.781	0.225	-0.538	0.648	-0.002	-0.363	1.547
100130428	-0.8095	-0.8565	-1.3595	-0.4585	-0.7795	-0.6105	-0.3645	-0.0095	-0.2865	-0.2455	-1.2615	-0.5645	-0.4655	-1.0785
100130653	-0.2565	-0.3495	-0.3995	0.3575	-0.0055	0.3905	0.3485	0.0615	0.1225	-0.0425	-0.5855	-0.1305	-0.2795	-1.3435
100130733	-1.0575	-1.4105	-1.3105	0.048125	0.8865	-1.3385	0.0521	-1.3805	-0.07695	-0.6465	-2.1225	-0.8515	-1.3165	-1.7575
100130967	-0.503	-0.339	-0.088	-0.219142857	-0.364	-0.288	-0.615	-0.509	-0.272	-3.273	-2.408	-1.421	-0.933	-2.985
100131186	-0.267	0.083	-0.1086	0.909	0.009	0.117	0.226	-0.036	-0.226	0.808	-0.1082	0.278	-0.031	0.458
100131187	-0.7515	-1.1225	-0.3825	-0.6715	-0.9915	-1.0715	-2.8215	-3.2815	-1.2215	-1.3715	-3.6005	-2.8915	-3.5945	-4.1015
100131211	0.271357143	-0.016928571	0.056785714	0.5465	0.2285	-0.2365	0.2555	0.0785	0.2765	0.1925	0.565785714	0.1425	0.1735	-0.4545
100131353	-0.016333333	0.189	0.054	0.1625	0.135125	-0.3398	0.1493	0.312666667	0.0133	-0.365	0.305	-1.176	-0.089	-0.102
100131601	-0.329277778	0.175555556	0.226277778	0.8425	0.0785	-0.2725	-0.0135	-0.0645	-0.0255	-0.3005	0.385666667	-0.0875	0.0015	0.3405
100131644	-0.55	-0.634	-0.123	-0.133	-0.896	-1.858	-1.426	-1.009	-0.476	-1.91	0.799	-1.478	-0.796	-0.058
100131878	0.576	0.24825	0.33975	1.529	0.732	0.165	1.023	0.292	0.517	1.198	1.495	0.766	0.591	2.466
100132341	0.13035	0.03755	-0.00195	-0.72305	-0.80005	-0.86805	-0.58605	0.07095	-0.48805	-0.91505	0.77045	-0.77905	-0.50605	0.25195
100132684	0.465928571	0.3985	0.293071429	0.6655	1.1175	1.4515	2.8285	2.7975	1.8325	2.2635	-0.448928571	2.1205	2.8515	1.6985
100132911	0.0225	0.1315	0.0515	-0.3005	0.1645	0.4175	0.2785	-0.1635	-0.0095	0.3975	-0.5595	-0.1515	-0.4925	-1.1545
100133142	-0.0873	0.3559	0.2821	1.077	0.388	-0.563	-0.4	-0.86	-0.065666667	-0.765	0.2599	0.157	0.282	-0.554
100133163	0.049833333	0.26625	0.227166667	0.178214286	-0.3665	0.1025	0.4605	0.9145	-0.6415	0.3145	0.126416667	-0.1905	0.3205	0.0835
100133815	0.1075	0.2105	0.1055	0.4995	-0.2645	0.2505	0.3275	0.0645	-0.0625	-0.1025	0.25	-0.0935	0.2055	-0.6865
100133914	1.224	0.532	1.071	0.3	0.177	0.37	-0.171	0.171	-0.221	0.557	0.174	-0.64	0.524	0.339
100134361	0.38	0.315	0.12	0.424	-0.229	-0.666	-0.035	0.01	0.466	0.274	0.594	0.656	-0.067	0.467
10014	0.189	0.275	0.43	0.361	0.163	-0.529	0.314	1.716	0.392	0.392	1.36	1.23	0.336	2.169
100141515	-0.2115	0.1087	0.1781	0.4715	-1.0205	-0.2065	-0.1385	-0.6295	-0.2445	-0.9715	0.3657	0.2795	0.1625	-0.5885
10015	1.5455	1.3085	1.3675	0.0375	0.4495	0.6275	0.1955	0.2075	0.2895	0.7405	-0.9825	0.0435	0.2655	0.1495
10016	0.524	-0.033	0.014	-0.928	-0.201	-0.039	0.015	-0.367	0.021	0.254	-0.837	-0.221	-0.163	-0.886
10017	0.0245	0.1035	0.7965	0.6225	0.4505	0.1135	-0.1255	-0.1065	0.2755	0.2265	-0.5115	0.0585	-0.0605	1.0655
10018	0.902	-0.206	0.279	0.338	-0.0495	-0.1215	-0.467	-0.062	-0.115	0.1185	-0.094	-0.109	-0.2925	0.7935
10019	0.045	0.17575	0.01825	0.5985	0.1485	-0.0885	0.2245	-0.1525	-0.1795	0.3425	0.007	0.0155	-0.1635	0.1105
1002	-0.1365	-0.0085	-0.1335	0.481	0.4385	-0.0245	0.6955	0.2885	0.476	0.2965	0.6785	0.5595	0.325	-0.402
10020	0.8625	1.1725	0.5745	1.5985	1.0885	-0.2915	0.0385	-0.0915	-0.6315	0.3085	-0.5005	-0.0015	0.0895	-0.1835
10021	-0.137214286	0.014928571	0.024928571	-0.9955	-0.4185	-0.0235	0.0015	-0.1305	-0.1085	-0.292071429	-0.148214286	0.0945	0.1565	-0.6015
10022	0.2995	-0.3685	-0.0345	-0.16175	0.8465	-0.124	-0.3385	0.1065	-0.1656	-0.2025	0.1245	0.2735	-0.1175	0.5475
10023	0.013071429	0.153571429	0.127904762	0.735571429	-0.155428571	-0.039428571	-0.363428571	-0.137428571	-0.305428571	-0.411428571	0.085238095	-0.196428571	-0.710428571	0.736571429
10025	0.414	0.031	0.437	-0.038	-0.659	-0.371	-0.222	0.688	0.119	-0.147	1.863	1.239	0.267	0.834
10026	0.2135	0.6615	0.3765	0.3285	0.0485	1.0585	1.3585	1.5985	1.1085	1.0285	-0.3135	1.2285	0.8685	-0.4975
100272147	-0.8245	-0.0015	-0.0965	0.0615	-0.1325	0.4865	0.8245	0.7805	0.2835	0.4325	0.0595	0.1665	0.1675	-0.4885
100272148	-0.0739	-0.2029	-0.1877	0.9395	-0.1725	0.0635	0.0195	0.0865	-0.1405	-0.3315	-0.2081	0.0345	0.1245	-0.2035
1003	0.181	0.254	-0.03	0.09775	-0.12225	-0.19	-0.108	0.035666667	-0.165	-1.498	-0.04	0.307	-0.003	0.53
10036	-0.600944444	-0.4895	-0.426388889	-0.1465	-0.8765	-0.8565	-1.2165	-1.6965	-1.4365	-1.3865	-0.689944444	-0.7965	-1.1725	-1.1695
10038	-0.2275	0.0555	0.0725	-0.3135	-0.2055	-0.5505	-0.3985	0.1655	-0.4015	-0.2885	-1.0185	-0.3685	0.1335	0.0995
10039	-0.096	0.22325	0.15375	-0.1355	-0.0745	0.2305	0.9025	0.9285	0.7785	0.7375	0.195	0.1395	0.6135	0.6075
1004	-0.8095625	-0.4745625	-0.5345625	0.2744375	-0.2035625	-0.5975625	-0.4575625	-0.8715625	-0.7895625	1.1804375	-1.5575625	-0.8385625	0.0574375	-1.7645625
10040	-0.341	-1.029	-0.415	-1.363	-0.613	-0.163	-2.783	-2.013	-0.573	-0.053	-3.924	-2.733	-2.451	-2.544
10043	0.3172	0.3174	0.0432	0.245	-0.193	-0.531	-0.361	0.073	0.011	0.153	0.0203	0.815	-0.036	2.055
10044	-0.5975	0.1665	0.1045	-0.7545	-0.6035	-0.5285	-0.3925	-0.4005	0.9115	1.0225	0.5315	-0.2875	0.5155	0.5685
10045	0.584666667	0.395333333	0.676833333	1.872	0.809	-0.73	-2.561	-3.748	-0.868	-0.887	-0.903	-2.278	-2.82	-3.765
10046	0.4515	1.0065	1.2695	1.5395	0.6115	0.8375	0.1265	0.1875	0.0105	0.4095	-1.7055	-0.6275	-0.6605	-1.5255
10047	-0.3165	0.042833333	-0.010833333	0.236857143	-0.35	-0.284	-0.563	-0.31	-0.365	-0.457	-0.100833333	-0.369	-0.243	-0.599
10048	0.3655	-0.3825	-0.4655	-0.8755	-0.2585	-0.1355	-0.1635	-0.2575	-0.3105	0.0845	-1.2745	-0.3195	0.4805	-0.4855
10049	1.226	0.522	0.721	-0.066	0.044	0.599	0.189	0.175	0.46	0.522	-0.762	-0.12	-0.375	-0.462
1005	-0.102	-0.356	-0.309	-0.81	-0.03	-0.53	-0.29	-0.24	-0.18	-4.076	0.917	-0.82	0.091	-0.584
10050	-0.018714286	-0.178571429	0.004571429	0.129428571	-0.214	-0.22	-0.009	-1.622	-2.541	-0.185	-0.259	0.087	-0.096	-0.548
10051	-0.627888889	-0.027222222	-0.040777778	-1.756	-1.321	-0.892	-0.977	-1.189	-1.486	-1.186	-0.298777778	-0.725	0.265	-1.487
10052	-0.015833333	0.069916667	0.273166667	-0.385	-0.051	-0.328	-0.355	-0.544	-0.021	0.039	0.024333333	0.068	0.136	-1.519
10053	0.12	-0.053	-0.167	0.704	-0.027	-0.685	-1.291	-1.589	-0.286	-0.629	-1.288	-1.279	-1.152	-0.81
10054	0.263333333	0.060666667	-0.071166667	-1.3535	-0.6075	0.4695	-0.0115	0.4445	0.4515	0.7975	-0.857666667	0.4655	0.5795	-0.3255
10055	-0.181928571	0.106714286	0.0785	0.184642857	0.134642857	-0.145357143	-0.175357143	-0.145357143	0.054642857	-0.055357143	-0.022214286	0.034642857	0.035642857	0.181642857
10056	-0.2485	-0.1125	-0.2745	0.4965	-0.1995	0.0075	0.3695	0.2925	-0.0975	-0.2635	0.2135	-0.1525	-0.0005	-0.1665
10057	0.382	-0.247	0.291	-0.558	-0.3	-0.121	-0.01	-0.123	-0.233	0.136	-0.951	-0.83	-0.13	-0.458
10058	0.0423	0.1983	0.3291	0.4045	0.2245	-0.2495	0.5975	0.7805	0.2135	0.0055	0.0767	0.1525	0.4545	0.7205
10059	0.557	-0.332	-0.584	-1.576	-0.078	0.677	0.392	0.393	0.3	0.355	-0.43	-0.11	0.418	0.98
1006	-0.0535	0.1455	0.6715	0.57425	0.0595	0.1075	-0.1895	0.0685	-0.0645	-0.0625	0.07325	-0.0875	0.12155	-0.0765
10060	-0.5025	-0.4715	-0.0955	0.335583333	-0.0403125	-0.5735	0.0805	0.3985	0.0781875	0.4755	-0.0795	-0.2155	1.0965	2.4335
10061	0.319	0.112	0.207	-0.69	0.214	-0.29	0.103	-0.032	-0.137	-0.119	-0.042	0.461	0.339	1.241
10062	-0.8985	-0.5405	-0.6715	-0.4345	-1.3315	-0.7875	0.5245	0.0585	-0.9475	-0.6425	0.8095	-0.3985	0.2775	0.0295
10063	-0.505	-0.226333333	-0.185333333	0.878	0.268	0.178	-0.222	-0.692	-0.392	-0.672	-0.011666667	-0.032	-1.287	-0.888
10066	-0.123642857	-0.246714286	-0.012642857	1.5	0.575	-0.156	-0.744	-0.328	-0.374	-0.203	-0.764785714	-0.483	-0.458	-0.567
10067	0.142428571	0.076714286	0.108428571	0.942	0.3	-0.357	-0.443	-0.464	-0.4	-0.314	0.133714286	0.309	-0.474	0.864
10068	-0.500416667	-0.113416667	-0.24625	0.3375	-0.8115	-0.4635	-0.0895	-0.7305	-0.8575	0.3215	0.53575	-1.0715	-1.0455	-1.0445
10069	-0.2473	0.1241	0.2087	0.4975	0.2725	0.6785	0.7845	0.2665	0.5645	0.3315	0.2316	0.6335	0.4525	0.0295
1007	-0.3395	0.0495	0.1045	0.484833333	0.0745	0.1035	0.1685	-0.0275	0.1055	-0.1195	-0.2845	-0.1325	-0.1115	-1.3545
10072	0.628	-0.863	-0.882	-0.609	-0.381	-0.809	-0.742	-0.256	0.032	-0.418	0.575	-0.026	-1.449	2.251
10073	0.15	0.671	0.543	0.406	0.164	0.45	0.999	0.883	0.423	0.698	1.245	0.9975	1.2695	0.7845
10075	0.2125625	-0.1743125	-0.1550625	-0.5796875	0.4383125	-0.4246875	-0.8656875	-0.6056875	-0.5576875	-0.1056875	0.5770625	0.3163125	0.3063125	0.4473125
10076	0.287	0.603	0.273	-0.801	0.041	0.175	0.075	-0.008	0.057	-0.217	0.056	0.225	0.006	-0.025
10077	-0.002333333	0.2985	0.171833333	0.5935	-0.0055	0.0725	-0.3185	-0.3945	-0.1635	0.1175	-0.077	0.2375	0.1065	0.7925
10078	-0.2192	0.2712	0.2614	1.7646	0.6886	0.2086	0.3766	0.2806	0.0976	-0.1104	0.7634	0.4286	-0.1104	1.4856
10079	-0.015444444	0.143333333	0.36075	0.4542	1.074	-0.393111111	-0.259	-0.313	0.413	-0.513	0.136125	-0.077	-0.09	0.221
1008	-0.1138	0.1878	0.3758	0.902	1.556	0.898	1.195	1.739	1.389	-1.983	-0.073	0.042	0.112	-0.458
10081	0.103	-0.211	-0.233	-0.61	0.534	0.132	0.345	0.69	0.429	0.343	1.372	0.211	0.295	2.294
10082	0.790785714	0.945785714	0.830285714	0.431722222	2.2	1.664	0.914	0.514	0.289	2.031	0.2215	0.895	1.891	2.688
10083	-0.29375	-0.16425	0.07175	0.06725	-1.08025	-0.92525	-0.33475	0.21675	-0.45525	0.04575	0.00975	-0.44625	-0.10375	0.67625
10084	0.059583333	0.243333333	0.362	0.188	-0.229	-0.391	-0.136	-0.433	-0.378	-0.566	0.619666667	-0.406	-0.115	-0.015
10085	0.592111111	1.223888889	0.912111111	1.019	0.287	1.226	-0.158	1.179	0.453	1.335	0.513666667	-0.696	2.795	0.162
10086	-0.1625	0.7585	0.3225	0.330214286	0.8945	-2.3815	0.4865	-0.3575	1.2275	1.7225	-0.5055	0.3265	0.4785	-0.4445
10087	-0.271	0.671	0.49	0.972	0.729	-0.624	-0.742	0.227	-0.203	-0.539	2.254	-0.351	-0.19	1.178
10089	-0.237	-0.459	-0.156	0.892	0.115	-0.3	-0.07	-0.246	-0.118	-0.514	0.815	-0.173	-0.216	0.296
1009	2.201	2.467	1.987	0.592	2.332	3.206	2.841	3.323	3.157	3.52	0.525	2.291	2.794	1.853
10090	0.194071429	0.084928571	0.084285714	0.5795	1.2985	0.1405	0.2845	1.3885	1.0875	0.6565	0.619928571	0.7475	0.9155	0.4015
10092	-0.095	0.917	0.999	1.146	0.659	0.271	-0.344	-0.021	0.347	-0.452	1.961	-0.446	-0.434	0.365
10093	0.61	-0.345	-0.175	-0.485	-0.107	0.674	0.441	0.06	0.267	0.666	0.844	0.647	0.004	0.14
10094	0.534388889	0.266611111	0.341611111	0.7805	0.5575	0.2385	-0.3515	-0.4195	0.0635	0.2505	-0.3045	0.1735	-0.3675	-0.2755
10095	0.024142857	-0.044428571	-0.036142857	-0.419	0.381	-0.039	-0.169	1.011	0.061	-0.649	0.258714286	0.821	0.876	2.266
10096	0.442	-0.222	-0.108	-0.538	-0.015	0.446	-0.051	-0.31	0.009	0.372	-1.03	-0.182	0.282	-0.417
10097	-0.165416667	-0.211166667	-0.160416667	0.0355	0.1935	0.6985	-0.0645	-0.0245	-0.1315	-0.0425	-0.022416667	-0.3595	-0.0425	0.3215
10098	0.643	1.054	0.717	0.27	0.367	0.67	1.047	-0.053	1.699	1.982	0.606	1.032	1.031	0.749
10099	0.4915	0.6535	0.4705	0.1275	0.1975	0.9085	1.1185	0.9715	0.7165	0.8595	-0.1645	0.5165	0.9095	0.2295
101	-0.974357143	-0.643928571	-0.7995	-0.078	-1.506	-1.211	-2.194	-1.813	-2.239	-1.448	-0.346642857	-2.505	-2.566	-2.39
1010	0.0295	0.4025	0.3865	0.710125	-0.7055	-0.5235	-0.0045	0.3865	-0.09245	0.6085	0.3855	-0.5585	0.3915	-0.0625
10100	2.713	3.555	2.794	1.814	3.489	3.938	2.129	1.06	2.242	3.386	0.182	2.23	0.177	2.072
10101	-0.109	-0.026	-0.08075	0.021	0.055	-0.392	-0.399	-0.139	-0.608	-0.84	0.557	0.181	0.24	1.021
10102	-0.1885	-0.0815	0.0585	-0.0785	-0.1045	-0.2815	-0.4875	-0.5225	-0.2115	-0.4615	-0.1875	-0.1625	-0.3695	-0.1615
10103	1.4335	0.5035	0.8305	0.4615	1.0615	1.7115	0.0515	-0.6485	0.4715	0.7915	-0.2965	-0.6785	-0.9945	-1.2865
10105	0.561	0.51	0.469	0.896	0.356	-0.144	0.036	-0.244	-0.154	0.136	-0.345	0.136	0.161	-0.162
10106	0.421535714	-0.081178571	0.00625	-0.07825	0.47275	0.11275	0.37975	0.66975	0.03625	0.19625	0.05925	1.10875	0.59225	0.59325
10107	-0.073175	0.007825	-0.116175	0.246625	-0.069175	-0.289175	-0.264175	-0.130175	-0.229175	-0.261460714	0.083825	-0.480175	-0.012175	0.897825
10109	0.6225	1.1805	1.5275	0.4585	0.8945	1.1985	0.3815	0.6975	1.0255	1.2615	1.3625	0.4595	0.0505	1.1515
10110	-0.1935	0.013	-0.009833333	0.40625	-0.4595	-0.6025	-0.3725	-0.3035	-0.5955	-0.2985	-0.0613	-0.6845	-0.8135	0.1335
10111	0.11	0.21	-0.24	-0.46	0.26	1.06	1.22	0.51	0.78	0.9	-0.34	0.61	0.373	0.035
10112	-1.0115	-1.0115	-0.8615	-0.5115	-0.7815	-0.8915	-0.7915	-1.3215	-1.2815	-1.4515	-0.7715	-0.5815	-1.3225	-1.7445
10113	0.170285714	0.085857143	0.1825	0.073	0.07	0.031	0.338	-0.032	-0.261	-0.041	0.492214286	-0.046	-0.28	0.216
10114	-0.0636	0.1652	0.2116	0.625625	-0.237	-0.074	-0.042	-0.121	-0.115	0.1346	0.1314	0.398	0.225	-0.399
10116	0.7505	1.1205	0.9845	1.3035	0.9135	1.1735	0.5835	0.9635	0.4435	1.1135	-0.5195	0.6435	0.9015	-0.3305
10117	0.0585	-0.0055	-0.184	0.1925	-1.6625	-0.4975	0.1615	0.107	0.6345	-0.1995	-0.198	-0.3615	-0.0305	-0.4795
1012	0.3193	0.3063	0.2591	0.4955	0.5655	0.3275	-0.3995	0.1045	-0.4515	-0.0145	0.4523	-1.2135	0.3575	0.2455
10120	0.402	-0.456	-0.18	-0.707	-1.004	-0.981	-0.548	-0.457	-0.351	-0.905	1.463	0.618	0.025	1.924
10121	0.308625	0.3945	0.407625	1.025	1.335	-0.34	-0.166	0.308	0.043	0.404	0.110125	0.121	0.138	0.009
10123	0.855071429	0.746	0.943	0.7075	0.9125	0.4665	0.2225	0.2885	0.7195	-0.0705	1.032857143	1.2415	0.9715	0.9185
10124	-0.00125	0.3408125	0.125875	1.52225	0.36025	0.88225	-0.06675	-0.21575	1.27525	0.57425	0.252875	-0.88275	-0.26975	-0.09475
10125	-0.13425	-0.52825	-0.46675	0.07125	-0.47925	-0.67625	-0.81775	-1.33225	-0.95325	-1.07375	-1.64325	-1.03325	-1.46625	-3.03875
10126	-0.255	0.495	0.176	0.014	-0.454	-0.163	0.056	0.121	-0.168	-0.576	0.238	0.336	0.196	0.53
10127	0.275	-0.326	-0.041	-2.141	0.504	-0.43	-0.066	0.022	-0.056	-0.168	0.593	0.659	0.271	0.898
10128	0.096	-0.109111111	-0.188333333	-1.055	-0.181	-0.437	-0.363	0	-0.1027	-0.149	-0.967333333	-0.02	-0.108	-0.479
10129	0.221	-0.546	-0.783	-0.756	-1.016	-0.736	-1.746	-1.116	-0.096	0.674	-1.743	-1.766	-0.843	-1.198
1013	0.0434	0.3872	0.2906	0.925	-0.15	0.64	0.174	0.464	-0.197	0.165	0.7104	0.066	-0.154	-0.45
10131	0.073833333	0.020333333	0.0245	0.002	-0.551	-1.053	-0.969	-0.613	-0.933	-0.585	-0.0975	-0.682	-0.95	-0.44
10133	1.2445	1.4975	1.4755	1.4265	1.2665	0.5665	0.4265	0.9765	0.5265	0.8465	0.6855	0.3065	1.0885	0.5505
10134	0.1924	0.0739	0.1513	0.0455	-0.0965	-0.2925	-0.3435	-0.4325	-0.2725	-0.5705	0.8007	-0.1445	-0.4795	0.1015
10135	0.5765	-0.256666667	-0.333	-0.503	-0.678	-0.95	1.751	0.931	-0.004	2.101	-1.056833333	-0.576	1.436	0.073
10136	-0.097125	0.170875	0.079	0.4895	-0.052611111	-0.5865	-0.1595	0.5615	-0.0695	-0.7585	0.011625	0.5485	0.0245	-1.5705
10138	0.892	0.012	-0.07	-0.691	0.171	1.096	0.866	0.502	0.629	1.348	-0.844	0.942	0.293	-0.143
10139	0.360285714	0.33	0.344142857	-0.191	0.271	-0.063	-0.017	0.179	0.129	-0.033	0.940428571	0.647	-0.005	-0.034
1014	-0.094	0.083	0.083	-0.042	-0.038	-0.283	0.133	0.026	-0.324	-0.391	-0.359	0.341	0.221	-0.898
10140	-0.7285	-0.9755	-0.5595	0.0435	-0.7165	-1.1565	-0.9265	-1.4465	-0.6265	-1.1565	0.7855	-0.5065	-1.3035	0.1215
10141	-0.421	-0.521	0.351	0.635357143	-0.029	-0.094	-0.148	-0.175	-0.24	-0.00645	0.799	0.22	-0.069	-0.959
10142	-0.3355	-0.2495	-0.3125	0.3645	-0.0305	-0.1535	0.2245	0.0795	-0.0815	-0.3235	0.0725	0.4655	0.4035	1.3585
10143	-0.498	-0.029	-0.311666667	-0.0098	-0.732	-0.422444444	0.018777778	-0.089	-0.507555556	-0.172	0.049666667	-0.154	-0.299	-0.0619
10144	0.034166667	0.238666667	0.269833333	-0.0805	0.1805	0.0615	-0.0415	0.5275	0.0755	-0.5115	0.127833333	-0.1315	0.0535	-0.2295
10146	0.76475	0.5245	0.45025	-0.3645	0.0855	0.5115	0.4505	0.8695	0.7355	0.3425	0.072	1.1695	0.5805	-0.3075
10147	0.055	-0.355	-0.247	-0.221	0.296	-0.689	-0.332	0.311	-0.227	-0.514	2.424	-0.267	-0.1	2.452
10148	-0.448666667	-0.071333333	0.015166667	0.0445	-0.6565	-0.9605	-0.3975	-0.8315	-0.5825	-1.4395	0.213166667	-1.5145	-1.0165	0.5405
10149	0.062	0.164833333	-0.061166667	0.035	0.361	0.377	0.045	-0.111	-0.078	-0.032	-0.288	0.061	-0.199	-0.865
1015	-0.275875	0.065125	0.059125	0.613125	-0.579875	0.068125	-0.099875	-0.126875	-0.001875	-0.382875	-0.242874182	0.126125	-0.036275	2.260125
10150	0.445	-0.058	0.146	-0.028	0.381	-0.126	-0.407	1.287	0.712	0.34	1.113	0.148	0.052	0.617
10151	-0.2705	-0.1265	-0.5945	-0.9445	-0.6465	0.1905	0.4465	-0.0565	-0.2685	0.0725	-1.9345	0.1625	0.0285	-0.4865
10152	0.2765	1.0095	0.8695	0.3295	0.9425	0.8285	0.7165	0.3855	0.7445	0.8675	0.4735	0.5935	0.4415	0.5555
10153	-0.6895	-0.2455	-0.5085	-0.2755	-0.1115	0.2585	0.4135	0.2675	0.2145	0.1545	-0.6585	-0.1315	0.2465	0.0655
10154	0.377	-0.00425	-0.038083333	0.27775	-0.269	-0.517	0.63	0.28	-0.447	0.026	0.770916667	0.731	0.778	1.525
10155	-0.036833333	0.024214286	0.0405	-0.2925	-0.3075	-0.4195	-0.0145	0.6605	0.0585	-0.3125	1.027928571	0.9005	-0.1405	1.9685
